 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 6.952000E-01  2.74527302E+03  2.74527302E+03  2.28944505E+01  7.04617370E+02  0.00000000E+00  0.00000000E+00
 7.002000E-01  2.79681286E+03  2.79681286E+03  2.30585103E+01  7.09685101E+02  0.00000000E+00  0.00000000E+00
 7.052000E-01  2.84876439E+03  2.84876439E+03  2.32231669E+01  7.14752832E+02  0.00000000E+00  0.00000000E+00
 7.102000E-01  2.90235438E+03  2.90235438E+03  2.33872139E+01  7.19820564E+02  0.00000000E+00  0.00000000E+00
 7.152000E-01  2.95507986E+03  2.95507986E+03  2.35518662E+01  7.24888295E+02  0.00000000E+00  0.00000000E+00
 7.202000E-01  3.00945519E+03  3.00945519E+03  2.63516871E+01  7.29956026E+02  0.00000000E+00  0.00000000E+00
 7.252000E-01  3.06552044E+03  3.06552044E+03  2.65339425E+01  7.35023758E+02  0.00000000E+00  0.00000000E+00
 7.302000E-01  3.12200249E+03  3.12200249E+03  2.67168847E+01  7.40091489E+02  0.00000000E+00  0.00000000E+00
 7.352000E-01  3.17888010E+03  3.17888010E+03  2.68991259E+01  7.45159221E+02  0.00000000E+00  0.00000000E+00
 7.402000E-01  3.23617025E+03  3.23617025E+03  2.70820634E+01  7.50226952E+02  0.00000000E+00  0.00000000E+00
 7.452000E-01  3.29518992E+03  3.29518992E+03  2.72642903E+01  7.55294683E+02  0.00000000E+00  0.00000000E+00
 7.503000E-01  3.35638775E+03  3.35638775E+03  2.74508816E+01  7.60463769E+02  0.00000000E+00  0.00000000E+00
 7.553000E-01  3.41622559E+03  3.41622559E+03  2.76330942E+01  7.65531501E+02  0.00000000E+00  0.00000000E+00
 7.603000E-01  3.47918887E+03  3.47918887E+03  2.78160222E+01  7.70599232E+02  0.00000000E+00  0.00000000E+00
 7.653000E-01  3.54120826E+03  3.54120826E+03  2.79982205E+01  7.75666963E+02  0.00000000E+00  0.00000000E+00
 7.703000E-01  3.60501599E+03  3.60501599E+03  2.81811437E+01  7.80734695E+02  0.00000000E+00  0.00000000E+00
 7.753000E-01  3.67063326E+03  3.67063326E+03  2.83633278E+01  7.85802426E+02  0.00000000E+00  0.00000000E+00
 7.803000E-01  3.73668517E+03  3.73668517E+03  2.85462462E+01  7.90870157E+02  0.00000000E+00  0.00000000E+00
 7.853000E-01  3.80316852E+03  3.80316852E+03  3.16012574E+01  7.95937889E+02  0.00000000E+00  0.00000000E+00
 7.903000E-01  3.87149210E+03  3.87149210E+03  3.18024624E+01  8.01005620E+02  0.00000000E+00  0.00000000E+00
 7.953000E-01  3.94165300E+03  3.94165300E+03  3.20028336E+01  8.06073352E+02  0.00000000E+00  0.00000000E+00
 8.003000E-01  4.01088682E+03  4.01086278E+03  3.22031943E+01  8.11141083E+02  0.00000000E+00  0.00000000E+00
 8.053000E-01  4.08335432E+03  4.08335432E+03  3.24043888E+01  8.16208814E+02  0.00000000E+00  0.00000000E+00
 8.103000E-01  4.15630773E+03  4.15630773E+03  3.26047339E+01  8.21276546E+02  0.00000000E+00  0.00000000E+00
 8.153000E-01  4.22974471E+03  4.22974471E+03  3.28059232E+01  8.26344277E+02  0.00000000E+00  0.00000000E+00
 8.203000E-01  4.30650549E+03  4.30647985E+03  3.30062526E+01  8.31412008E+02  0.00000000E+00  0.00000000E+00
 8.253000E-01  4.38228061E+03  4.38228061E+03  3.32074367E+01  8.36479740E+02  0.00000000E+00  0.00000000E+00
 8.303000E-01  4.46002014E+03  4.45999369E+03  3.34077504E+01  8.41547471E+02  0.00000000E+00  0.00000000E+00
 8.353000E-01  4.53966455E+03  4.53966455E+03  3.36089292E+01  8.46615203E+02  0.00000000E+00  0.00000000E+00
 8.403000E-01  4.62125825E+03  4.62125825E+03  3.38092274E+01  8.51682934E+02  0.00000000E+00  0.00000000E+00
 8.453000E-01  4.70337608E+03  4.70337608E+03  3.71012889E+01  8.56750665E+02  0.00000000E+00  0.00000000E+00
 8.503000E-01  4.78743750E+03  4.78743750E+03  3.73207452E+01  8.61818397E+02  0.00000000E+00  0.00000000E+00
 8.553000E-01  4.87203064E+03  4.87203064E+03  3.75392238E+01  8.66886128E+02  0.00000000E+00  0.00000000E+00
 8.603000E-01  4.95861673E+03  4.95861673E+03  3.77586745E+01  8.71953859E+02  0.00000000E+00  0.00000000E+00
 8.653000E-01  5.04721341E+03  5.04721341E+03  3.79771360E+01  8.77021591E+02  0.00000000E+00  0.00000000E+00
 8.703000E-01  5.13630074E+03  5.13630074E+03  3.81965809E+01  8.82089322E+02  0.00000000E+00  0.00000000E+00
 8.753000E-01  5.22896321E+03  5.22896321E+03  3.84150254E+01  8.87157053E+02  0.00000000E+00  0.00000000E+00
 8.803000E-01  5.32216643E+03  5.32216643E+03  3.86334585E+01  8.92224785E+02  0.00000000E+00  0.00000000E+00
 8.853000E-01  5.41740335E+03  5.41740335E+03  3.88528920E+01  8.97292516E+02  0.00000000E+00  0.00000000E+00
 8.903000E-01  5.51318534E+03  5.51318534E+03  3.90713081E+01  9.02360248E+02  0.00000000E+00  0.00000000E+00
 8.953000E-01  5.61259377E+03  5.61259377E+03  3.92907358E+01  9.07427979E+02  0.00000000E+00  0.00000000E+00
 9.003000E-01  5.71256625E+03  5.71256625E+03  3.95091348E+01  9.12495710E+02  0.00000000E+00  0.00000000E+00
 9.053000E-01  5.81465500E+03  5.81465500E+03  4.30381490E+01  9.17563442E+02  0.00000000E+00  0.00000000E+00
 9.103000E-01  5.91884210E+03  5.91884210E+03  4.32758500E+01  9.22631173E+02  0.00000000E+00  0.00000000E+00
 9.153000E-01  6.02517645E+03  6.02517645E+03  4.35124182E+01  9.27698904E+02  0.00000000E+00  0.00000000E+00
 9.203000E-01  6.13367375E+03  6.13367375E+03  4.37489740E+01  9.32766636E+02  0.00000000E+00  0.00000000E+00
 9.253000E-01  6.24431385E+03  6.24431385E+03  4.39866627E+01  9.37834367E+02  0.00000000E+00  0.00000000E+00
 9.303000E-01  6.35714663E+03  6.35714663E+03  4.42232001E+01  9.42902099E+02  0.00000000E+00  0.00000000E+00
 9.353000E-01  6.47215041E+03  6.47215041E+03  4.44597252E+01  9.47969830E+02  0.00000000E+00  0.00000000E+00
 9.403000E-01  6.58937574E+03  6.58937574E+03  4.46974015E+01  9.53037561E+02  0.00000000E+00  0.00000000E+00
 9.453000E-01  6.70879936E+03  6.70879936E+03  4.49339081E+01  9.58105293E+02  0.00000000E+00  0.00000000E+00
 9.503000E-01  6.83043400E+03  6.83043400E+03  4.51704024E+01  9.63173024E+02  0.00000000E+00  0.00000000E+00
 9.553000E-01  6.95595598E+03  6.95595598E+03  4.54080664E+01  9.68240755E+02  0.00000000E+00  0.00000000E+00
 9.603000E-01  7.08372808E+03  7.08372808E+03  4.91556604E+01  9.73308487E+02  0.00000000E+00  0.00000000E+00
 9.653000E-01  7.21376219E+03  7.21376219E+03  4.94103135E+01  9.78376218E+02  0.00000000E+00  0.00000000E+00
 9.703000E-01  7.34606998E+03  7.34606998E+03  4.96662460E+01  9.83443949E+02  0.00000000E+00  0.00000000E+00
 9.753000E-01  7.48070463E+03  7.48070463E+03  4.99208792E+01  9.88511681E+02  0.00000000E+00  0.00000000E+00
 9.803000E-01  7.61925158E+03  7.61925158E+03  5.01754992E+01  9.93579412E+02  0.00000000E+00  0.00000000E+00
 9.853000E-01  7.76182504E+03  7.76182504E+03  5.04314183E+01  9.98647144E+02  0.00000000E+00  0.00000000E+00
 9.903000E-01  7.90669930E+03  7.90669930E+03  5.06860184E+01  1.00371487E+03  0.00000000E+00  0.00000000E+00
 9.953000E-01  8.05397150E+03  8.05397150E+03  5.09406053E+01  1.00878261E+03  0.00000000E+00  0.00000000E+00
 1.000300E+00  8.20524563E+03  8.20524563E+03  5.11965111E+01  1.01385034E+03  0.00000000E+00  0.00000000E+00
 1.005300E+00  8.35890537E+03  8.35890537E+03  5.14510782E+01  1.01891807E+03  0.00000000E+00  0.00000000E+00
 1.010300E+00  8.51834930E+03  8.51834930E+03  5.53988909E+01  1.02398580E+03  0.00000000E+00  0.00000000E+00
 1.015300E+00  8.68017439E+03  8.68017439E+03  5.56716130E+01  1.02905353E+03  0.00000000E+00  0.00000000E+00
 1.020300E+00  8.84443527E+03  8.84443527E+03  5.59457764E+01  1.03412126E+03  0.00000000E+00  0.00000000E+00
 1.025300E+00  9.01451684E+03  9.01451684E+03  5.62184772E+01  1.03918899E+03  0.00000000E+00  0.00000000E+00
 1.030300E+00  9.18879180E+03  9.18879180E+03  5.64911638E+01  1.04425673E+03  0.00000000E+00  0.00000000E+00
 1.035300E+00  9.36551042E+03  9.36551042E+03  5.67638363E+01  1.04932446E+03  0.00000000E+00  0.00000000E+00
 1.040300E+00  9.54813844E+03  9.54813844E+03  5.70379783E+01  1.05439219E+03  0.00000000E+00  0.00000000E+00
 1.045300E+00  9.73503141E+03  9.73503141E+03  5.73106295E+01  1.05945992E+03  0.00000000E+00  0.00000000E+00
 1.050400E+00  9.92710517E+03  9.92710517E+03  5.75887492E+01  1.06462901E+03  0.00000000E+00  0.00000000E+00
 1.055400E+00  1.01224503E+04  1.01224503E+04  5.78613720E+01  1.06969674E+03  0.00000000E+00  0.00000000E+00
